SN,TEST_NAME,sub_test_name,test_result,lower_limit,upper_limit,test_value,process,mapping_process,endtime,[station_id],[fixture_id]
FM7921202BRL82LCX22,234.N,234-02.N,pass,0.175,0.255,0.198,ump-t1,Grinding,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921202C1L82LCJ22,237.N,237-01.N,pass,0.405,0.515,0.445,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79144018MM0XCEP13,A112.N,A112.N,pass,20.095,20.445,20.252,ump-t3,la-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7913700DQM0XDE513,A118.N,A118.N,pass,19.365,19.715,19.536,ump-t3,la-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921100H7L82LC022,486.L,486.L,pass,1.365,1.485,1.424,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7920400WGM0XDCD19,490.L,490.L,pass,1.395,1.555,1.489,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79136001RM0XDE713,A022.N,A022-17.N,pass,-0.005,0.155,0.024,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700CQM0XDE813,A140.N,A140.N,pass,14.565,14.975,14.751,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700XDM0XDEW13,A035.N,A035-UR.N,pass,-0.025,0.025,0.003,ump-t3,Grinding,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79136001RM0XDE713,A116.N,A116.N,pass,2.175,2.585,2.379,ump-t3,ua-nut-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79136001RM0XDE713,A331.N,A331.N,pass,4.915,5.225,5.023,ump-t3,mlb-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79136001RM0XDE713,A111.N,A111.N,pass,5.635,5.945,5.741,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7913700XDM0XDEW13,A147.N,A147-ML02.N,pass,3.975,4.235,4.07,ump-t3,mlb-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700CQM0XDE813,A144.N,A144-UA10.N,pass,3.735,3.995,3.782,ump-t3,ua-nut-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79211007GL82JAV22,580.N,580-08.N,pass,1.315,1.385,1.343,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7913700LKM0XDEP13,A224.Y,A224-A02.Y,pass,0.455,0.615,0.5,ump-t3,trim-sp-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921100M6L82LCP22,590.L,590.L,pass,0.815,0.975,0.902,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921201M9L82LCJ22,234.N,234-10.N,pass,0.175,0.255,0.219,ump-t1,Grinding,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM791430021M0XCEV13,A116.N,A116.N,pass,2.175,2.585,2.388,ump-t3,ua-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7919600BJL82JCF19,472.L,472.L,pass,0.145,0.265,0.228,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921202BRL82LCX22,471.L,471.L,pass,0.145,0.265,0.229,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7914100KLM0XDEU13,A273.N,A273-B3.N,pass,4.055,4.465,4.29,ump-t3,bd-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921201M9L82LCJ22,162.N,162.N,pass,1.805,1.855,1.843,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM792060108M0XDC619,450.L,450-12.L,pass,0.01,0.22,0.106,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921200FLL82LCS22,092.L,092.L,pass,1.395,1.555,1.461,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79211007GL82JAV22,471.L,471-TN.L,pass,0.145,0.265,0.179,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79213007RL82LCA22,110.N,110.N,pass,5.555,5.665,5.646,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700F6M0XDEH13,A225.N,A225-B3.N,pass,1.115,1.525,1.115,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700F6M0XDEH13,A139.N,A139-B2.N,pass,5.635,5.945,6.84,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700F6M0XDEH13,A041.Z,A041.Z,pass,-0.025,0.025,-0.001,ump-t3,Grinding,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921300K4L82LCV22,107.L,107.L,pass,1.805,1.855,1.813,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921100BGL82JAH22,234.N,234-10.N,pass,0.175,0.255,0.229,ump-t1,Grinding,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7913700F6M0XDEH13,A144.N,A144-UA09.N,pass,3.735,3.995,3.865,ump-t3,ua-nut-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700CQM0XDE813,A004.Y,A004.Y,pass,75.065,75.295,75.235,ump-t3,sp-wld1,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700F6M0XDEH13,A144.N,A144-LA09.N,pass,3.115,3.375,3.29,ump-t3,la-nut-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921100BGL82JAH22,580.N,580.N,pass,1.315,1.385,1.356,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921200D1L82LCH22,094.L,094-S.L,pass,0.825,0.945,0.843,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921200C8L82LCD22,244.S,244-P1.S,pass,0.575,0.815,0.657,ump-t1,CNC7,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79144000VM0XCE613,A115.N,A115-B3.N,pass,12.055,12.465,12.206,ump-t3,ua-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921100H7L82LC022,569.N,569.N,pass,0,0.155,0.05,ump-t1,CNC6,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700DQM0XDE513,A122.N,A122.N,pass,7.145,7.455,7.32,ump-t3,la-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM792070024L82JCD19,123.L,123-12.L,pass,0.01,0.22,0.028,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921200SGL82LCX22,234.N,234.N,pass,0.175,0.255,0.214,ump-t1,Grinding,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921100H7L82LC022,472.L,472.L,pass,0.145,0.265,0.234,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79137016LM0XDEV13,A129.N,A129-B3.N,pass,5.555,5.905,11.446,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79137016LM0XDEV13,A224.Y,A224-A01.Y,pass,0.455,0.615,0.502,ump-t3,trim-sp-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM791430021M0XCEV13,531.Z,531-North.Z,pass,-2,1.9,0,ump-t3,CNC5-1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921202BRL82LCX22,124.N,124-10.N,pass,0.115,0.325,0.204,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79204009KM0XDC519,092.L,092.L,pass,1.395,1.555,1.465,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7914100KLM0XDEU13,A147.N,A147-ML01.N,pass,3.975,4.235,4.106,ump-t3,mlb-nut-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921200FLL82LCS22,123.L,123.L,pass,0.01,0.22,0.077,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921200U3L82LC422,489.L,489.L,pass,1.395,1.555,1.476,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7914401EZM0XCET13,A111.N,A111-B3.N,pass,5.635,5.945,70.145,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7920400VQM0XDC819,470.L,470.L,pass,0.145,0.265,0.219,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921300XML82LCA22,701.S,701-P15.S,pass,0.19,0.49,0.357,ump-t1,CNC7,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7913700XDM0XDEW13,A126.N,A126.N,pass,24.325,24.735,24.472,ump-t3,la-nut-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7920701BDL82KC919,257.S,257.S,pass,0.615,1.025,0.845,ump-t1,CNC7,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7914401WJM0XCEU13,A131.N,A131.N,pass,7.145,7.455,7.261,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7913700CQM0XDE813,A111.N,A111.N,pass,5.635,5.945,5.73,ump-t3,la-nut-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79212004SL82LCK22,484.L,484.L,pass,1.365,1.485,1.408,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7913700LKM0XDEP13,A326.Y,A326-O.Y,pass,0,0.065,0.011,ump-t3,trim-sp-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921202BRL82LCX22,124.N,124-11.N,pass,0.115,0.325,0.226,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM792120086L82LCT22,486.L,486.L,pass,1.365,1.485,1.421,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7914100KLM0XDEU13,A126.N,A126.N,pass,24.325,24.735,24.521,ump-t3,la-nut-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921200E0L82LCF22,580.N,580.N,pass,1.315,1.385,1.342,ump-t1,CNC6,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921202C1L82LCJ22,472.L,472-TN.L,pass,0.145,0.265,0.249,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79207003LL82LCS22,472.L,472.L,pass,0.145,0.265,0.225,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7913700LKM0XDEP13,A036.N,A036-UL.N,pass,-0.025,0.025,0.001,ump-t3,Grinding,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921202C1L82LCJ22,484.L,484-B02.L,pass,1.365,1.485,1.435,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79144012LM0XCE813,A140.N,A140.N,pass,14.565,14.975,14.752,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921202DNL82LCU22,485.L,485-B01.L,pass,1.365,1.485,1.439,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79211005VL82LCE22,701.S,701-P15.S,pass,0.19,0.49,0.384,ump-t1,CNC7,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921202DNL82LCU22,234.N,234.N,pass,0.175,0.255,0.227,ump-t1,Grinding,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7914401NLM0XCEG13,A008.N,A008-West.N,pass,-3.5,3.5,0,ump-t3,CNC6,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79141013DM0XDEE13,A132.N,A132.N,pass,23.645,23.955,23.763,ump-t3,mlb-nut-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM792110092L82LCV22,482.L,482-S.L,pass,0.825,0.945,0.889,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7913700F6M0XDEH13,A116.N,A116-B3.N,pass,2.175,2.585,2.346,ump-t3,ua-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921202B4L82LCJ22,274.S,274-03.S,pass,0.205,0.515,0.334,ump-t1,CNC7,2019.05.26,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921100BGL82JAH22,450.L,450-01.L,pass,0.01,0.22,0.099,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921300K4L82LCV22,234.N,234-09.N,pass,0.175,0.255,0.25,ump-t1,Grinding,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921100BGL82JAH22,126.N,126-03.N,pass,0.145,0.355,0.271,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921100BGL82JAH22,126.N,126-03.N,pass,0.145,0.355,0.271,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921100LGL82LCG22,274.S,274.S,pass,0.205,0.515,0.293,ump-t1,CNC7,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921100Q3L82LCH22,010.L,010-01.L,pass,0.895,1.105,1.03,ump-t1,Grinding,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7914401NLM0XCEG13,711.Z,711-11.Z,pass,-0.085,0.085,-0.01,ump-t3,polish1,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921202C1L82LCJ22,580.N,580-11.N,pass,1.315,1.385,1.352,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79212012WL82LCL22,257.S,257.S,pass,0.615,1.025,0.838,ump-t1,CNC7,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79212012WL82LCL22,108.L,108.L,pass,1.805,1.855,1.815,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM792060108M0XDC619,560.N,560-04.N,pass,1.315,1.385,1.356,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7914100KLM0XDEU13,A014.N,A014-Offset.N,pass,0.037,0.292,0.187,ump-t3,BGASSY,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7913700LKM0XDEP13,A014.N,A014-Offset.N,pass,0.037,0.292,0.187,ump-t3,BGASSY,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79211000VL82JCX19,701.S,701-P15.S,pass,0.19,0.49,0.339,ump-t1,CNC7,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921100M6L82LCP22,590.L,590.L,pass,0.815,0.975,0.902,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700LKM0XDEP13,531.Z,531-05.Z,pass,-0.005,0.305,0.155,ump-t3,CNC5-1,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921201M9L82LCJ22,234.N,234-10.N,pass,0.175,0.255,0.219,ump-t1,Grinding,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM792120020L82JAR22,490.L,490.L,pass,1.395,1.555,1.428,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700XDM0XDEW13,A041.Z,A041.Z,pass,-0.025,0.025,0.005,ump-t3,Grinding,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7913700XDM0XDEW13,A147.N,A147-ML01.N,pass,3.975,4.235,4.105,ump-t3,mlb-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7913700F6M0XDEH13,A128.N,A128-B3.N,pass,31.275,31.685,37.089,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM792120020L82JAR22,039.L,039-TS.L,pass,0.145,0.265,0.237,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7914400Q5M0XCES13,A006.N,A006-09.N,pass,77.695,78.005,77.875,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921100RKL82LCY22,009.N,009-01.N,pass,0.895,1.105,1.021,ump-t1,Grinding,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM792120020L82JAR22,123.L,123-04.L,pass,0.01,0.22,0.101,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921100BGL82JAH22,450.L,450-05.L,pass,0.01,0.22,0.086,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79141013DM0XDEE13,A126.N,A126.N,pass,24.325,24.735,24.514,ump-t3,la-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921300MDL82LCE22,486.L,486.L,pass,1.365,1.485,1.436,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7914401EZM0XCET13,A144.N,A144-LA10.N,pass,3.115,3.375,3.211,ump-t3,la-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79141013DM0XDEE13,531.Z,531-North.Z,pass,-2,1.9,0,ump-t3,CNC5-1,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79136001RM0XDE713,A023.N,A023.N,pass,-0.005,0.205,0.094,ump-t3,sp-wld1,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700F6M0XDEH13,A326.Y,A326-O.Y,pass,0,0.065,0.005,ump-t3,trim-sp-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921201JLL82LCG22,486.L,486.L,pass,1.365,1.485,1.421,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79213007RL82LCA22,488.L,488.L,pass,1.365,1.485,1.433,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7914100KLM0XDEU13,A040.Z,A040.Z,pass,-0.025,0.025,0.008,ump-t3,Grinding,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921202DNL82LCU22,470.L,470-TN.L,pass,0.145,0.265,0.216,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM792070032L82JCC19,469.L,469-TS.L,pass,0.145,0.265,0.244,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921202DNL82LCU22,639.S,639-01.S,pass,0.185,0.495,0.325,ump-t1,CNC7,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7913700LKM0XDEP13,319.Y,319-03.Y,pass,0.085,0.265,5.912,ump-t3,CNC5-2,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700LKM0XDEP13,157.Y,157-02.Y,pass,3.115,3.385,3.275,ump-t3,CNC5-2,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921201M9L82LCJ22,011.L,011-01.L,pass,0.895,1.105,1.02,ump-t1,Grinding,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921200DDL82JAD22,158.L,158.L,pass,3.655,3.865,3.829,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM792120086L82LCT22,471.L,471.L,pass,0.145,0.265,0.233,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79211007GL82JAV22,039.L,039.L,pass,0.145,0.265,0.202,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921200QKL82LC022,007.N,007-01.N,pass,0.895,1.105,1.022,ump-t1,Grinding,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921100RKL82LCY22,257.S,257.S,pass,0.615,1.025,0.867,ump-t1,CNC7,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79141013DM0XDEE13,A022.N,A022-34.N,pass,-0.005,0.155,-0.054,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79141013DM0XDEE13,A040.Z,A040.Z,pass,-0.025,0.025,0.011,ump-t3,Grinding,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM792120020L82JAR22,234.N,234-07.N,pass,0.175,0.255,0.182,ump-t1,Grinding,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79212004SL82LCK22,003.L,003-01.L,pass,0.895,1.105,1.046,ump-t1,Grinding,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79212004SL82LCK22,003.L,003-01.L,pass,0.895,1.105,1.046,ump-t1,Grinding,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700F6M0XDEH13,A022.N,A022-35.N,pass,-0.005,0.155,-0.106,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79196004GL82JC419,158.L,158.L,pass,3.655,3.865,3.77,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7920200YUM0XDCX19,257.S,257.S,pass,0.615,1.025,0.819,ump-t1,CNC7,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921201M9L82LCJ22,484.L,484.L,pass,1.365,1.485,1.446,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM791440173M0XCEA13,A004.Y,A004.Y,fail,75.065,75.295,75.023,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921300R9L82LC622,148.L,148.L,pass,1.805,1.855,1.836,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921202DNL82LCU22,560.N,560.N,pass,1.315,1.385,1.344,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM791960011L82JCU19,051.L,051.L,pass,0,1.5,0,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921202BRL82LCX22,486.L,486-B01.L,pass,1.365,1.485,1.433,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700LKM0XDEP13,A144.N,A144-LA03.N,pass,2.235,2.495,2.335,ump-t3,CNC7,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921202DNL82LCU22,485.L,485-B01.L,pass,1.365,1.485,1.439,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921202DNL82LCU22,489.L,489.L,pass,1.395,1.555,1.5,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921201JLL82LCG22,470.L,470.L,pass,0.145,0.265,0.2,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7914300SPM0XCE313,A139.N,A139.N,pass,5.635,5.945,5.767,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79144018MM0XCEP13,A147.N,A147-ML03.N,pass,3.975,4.235,4.105,ump-t3,mlb-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7914400CLM0XCED13,A002.N,A002-01.N,pass,155.175,155.385,155.281,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79141013DM0XDEE13,319.Y,319.Y,pass,0.085,0.265,0.149,ump-t3,CNC5-2,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700CQM0XDE813,A037.N,A037-LR.N,pass,-0.025,0.025,0.009,ump-t3,Grinding,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921201C3L82LCH22,483.L,483-N.L,pass,0.825,0.945,0.886,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79144018MM0XCEP13,A224.Y,A224-M04.Y,pass,0.455,0.615,0.507,ump-t3,trim-sp-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7913700LKM0XDEP13,A144.N,A144-LA13.N,pass,3.735,3.995,3.884,ump-t3,la-nut-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
